'03.04.2023 17:09:04','638161385441764148','MouseMovement','None','X:213,Y:598'
'03.04.2023 17:09:04','638161385441870381','MouseMovement','None','X:281,Y:598'
'03.04.2023 17:09:04','638161385441978705','MouseMovement','None','X:332,Y:598'
'03.04.2023 17:09:04','638161385442083135','MouseMovement','None','X:389,Y:598'
'03.04.2023 17:09:04','638161385442193888','MouseMovement','None','X:531,Y:598'
'03.04.2023 17:09:04','638161385442301478','MouseMovement','None','X:612,Y:598'
'03.04.2023 17:09:04','638161385442405426','MouseMovement','None','X:690,Y:598'
'03.04.2023 17:09:04','638161385442512319','MouseMovement','None','X:771,Y:598'
'03.04.2023 17:09:04','638161385442642410','MouseMovement','None','X:923,Y:598'
'03.04.2023 17:09:04','638161385442723007','MouseMovement','None','X:988,Y:599'
'03.04.2023 17:09:04','638161385442832399','MouseMovement','None','X:1037,Y:604'
'03.04.2023 17:09:04','638161385442936194','MouseMovement','None','X:1092,Y:612'
'03.04.2023 17:09:04','638161385443043177','MouseMovement','None','X:1104,Y:614'
'03.04.2023 17:09:04','638161385443149814','MouseMovement','None','X:1114,Y:616'
'03.04.2023 17:09:04','638161385443624010','MouseMovement','None','X:1113,Y:616'
'03.04.2023 17:09:04','638161385443697275','MouseMovement','None','X:1111,Y:617'
'03.04.2023 17:09:04','638161385443857168','MouseMovement','None','X:1110,Y:618'
'03.04.2023 17:09:04','638161385443867630','MouseMovement','None','X:1108,Y:620'
'03.04.2023 17:09:04','638161385443920034','MouseMovement','None','X:1106,Y:621'
'03.04.2023 17:09:04','638161385444005521','MouseMovement','None','X:1099,Y:625'
'03.04.2023 17:09:04','638161385444110442','MouseMovement','None','X:1093,Y:629'
'03.04.2023 17:09:04','638161385444236906','MouseMovement','None','X:1089,Y:632'
'03.04.2023 17:09:04','638161385444429973','MouseMovement','None','X:1074,Y:637'
'03.04.2023 17:09:04','638161385444536256','MouseMovement','None','X:1054,Y:639'
'03.04.2023 17:09:04','638161385444644040','MouseMovement','None','X:1044,Y:639'
'03.04.2023 17:09:04','638161385444751341','MouseMovement','None','X:1030,Y:639'
'03.04.2023 17:09:04','638161385444856045','MouseMovement','None','X:1004,Y:639'
'03.04.2023 17:09:04','638161385444963950','MouseMovement','None','X:990,Y:641'
'03.04.2023 17:09:04','638161385445070096','MouseMovement','None','X:979,Y:642'
'03.04.2023 17:09:04','638161385445176410','MouseMovement','None','X:961,Y:648'
'03.04.2023 17:09:04','638161385445287336','MouseMovement','None','X:952,Y:652'
'03.04.2023 17:09:04','638161385445459406','MouseMovement','None','X:931,Y:664'
'03.04.2023 17:09:04','638161385445496274','MouseMovement','None','X:920,Y:670'
'03.04.2023 17:09:04','638161385445609024','MouseMovement','None','X:911,Y:676'
'03.04.2023 17:09:04','638161385445710626','MouseMovement','None','X:902,Y:681'
'03.04.2023 17:09:04','638161385445816969','MouseMovement','None','X:890,Y:688'
'03.04.2023 17:09:04','638161385445930402','MouseMovement','None','X:884,Y:692'
'03.04.2023 17:09:04','638161385446033706','MouseMovement','None','X:878,Y:695'
'03.04.2023 17:09:04','638161385446137293','MouseMovement','None','X:870,Y:701'
'03.04.2023 17:09:04','638161385446243278','MouseMovement','None','X:866,Y:703'
'03.04.2023 17:09:04','638161385446354587','MouseMovement','None','X:861,Y:706'
'03.04.2023 17:09:04','638161385446459556','MouseMovement','None','X:855,Y:710'
'03.04.2023 17:09:04','638161385446563385','MouseMovement','None','X:852,Y:712'
'03.04.2023 17:09:04','638161385446723786','MouseMovement','None','X:844,Y:714'
'03.04.2023 17:09:04','638161385446779160','MouseMovement','None','X:841,Y:715'
'03.04.2023 17:09:04','638161385446886826','MouseMovement','None','X:840,Y:715'
'03.04.2023 17:09:04','638161385446992365','MouseMovement','None','X:834,Y:715'
'03.04.2023 17:09:04','638161385447098442','MouseMovement','None','X:833,Y:715'
'03.04.2023 17:09:04','638161385447205421','MouseMovement','None','X:831,Y:715'
'03.04.2023 17:09:04','638161385447362513','MouseMovement','None','X:830,Y:715'
'03.04.2023 17:09:04','638161385447526904','MouseMovement','None','X:829,Y:715'
'03.04.2023 17:09:04','638161385448798212','MouseMovement','None','X:828,Y:715'
'03.04.2023 17:09:04','638161385449018751','MouseMovement','None','X:828,Y:714'
'03.04.2023 17:09:04','638161385449126523','MouseMovement','None','X:828,Y:713'
'03.04.2023 17:09:04','638161385449232884','MouseMovement','None','X:828,Y:710'
'03.04.2023 17:09:04','638161385449660630','MouseMovement','None','X:828,Y:709'
'03.04.2023 17:09:04','638161385449762658','MouseMovement','None','X:828,Y:707'
'03.04.2023 17:09:04','638161385449869159','MouseMovement','None','X:827,Y:707'
'03.04.2023 17:09:05','638161385450084935','MouseMovement','None','X:826,Y:704'
'03.04.2023 17:09:05','638161385450190486','MouseMovement','None','X:823,Y:698'
'03.04.2023 17:09:05','638161385450295763','MouseMovement','None','X:820,Y:695'
'03.04.2023 17:09:05','638161385450509160','MouseMovement','None','X:814,Y:686'
'03.04.2023 17:09:05','638161385450649010','MouseMovement','None','X:805,Y:676'
'03.04.2023 17:09:05','638161385450724438','MouseMovement','None','X:800,Y:670'
'03.04.2023 17:09:05','638161385450830112','MouseMovement','None','X:790,Y:658'
'03.04.2023 17:09:05','638161385450939121','MouseMovement','None','X:787,Y:652'
'03.04.2023 17:09:05','638161385451044170','MouseMovement','None','X:783,Y:646'
'03.04.2023 17:09:05','638161385451150619','MouseMovement','None','X:778,Y:632'
'03.04.2023 17:09:05','638161385451259651','MouseMovement','None','X:776,Y:626'
'03.04.2023 17:09:05','638161385451365229','MouseMovement','None','X:774,Y:619'
'03.04.2023 17:09:05','638161385451580295','MouseMovement','None','X:770,Y:602'
'03.04.2023 17:09:05','638161385451685301','MouseMovement','None','X:766,Y:583'
'03.04.2023 17:09:05','638161385451789644','MouseMovement','None','X:760,Y:565'
'03.04.2023 17:09:05','638161385452002567','MouseMovement','None','X:754,Y:552'
'03.04.2023 17:09:05','638161385452110904','MouseMovement','None','X:751,Y:542'
'03.04.2023 17:09:05','638161385452219034','MouseMovement','None','X:749,Y:540'
'03.04.2023 17:09:05','638161385452376163','MouseMovement','None','X:746,Y:533'
'03.04.2023 17:09:05','638161385452431568','MouseMovement','None','X:744,Y:530'
'03.04.2023 17:09:05','638161385452536496','MouseMovement','None','X:742,Y:526'
'03.04.2023 17:09:05','638161385452651399','MouseMovement','None','X:739,Y:519'
'03.04.2023 17:09:05','638161385452749081','MouseMovement','None','X:737,Y:516'
'03.04.2023 17:09:05','638161385452855901','MouseMovement','None','X:736,Y:515'
'03.04.2023 17:09:05','638161385453069797','MouseMovement','None','X:734,Y:511'
'03.04.2023 17:09:05','638161385453221140','MouseMovement','None','X:734,Y:510'
'03.04.2023 17:09:06','638161385461820760','MouseOneClick','Left','X:734,Y:510'
'03.04.2023 17:09:06','638161385468003998','MouseMovement','None','X:733,Y:509'
'03.04.2023 17:09:06','638161385468219205','MouseMovement','None','X:730,Y:510'
'03.04.2023 17:09:06','638161385468327271','MouseMovement','None','X:725,Y:512'
'03.04.2023 17:09:06','638161385468539677','MouseMovement','None','X:707,Y:521'
'03.04.2023 17:09:06','638161385468645761','MouseMovement','None','X:678,Y:536'
'03.04.2023 17:09:06','638161385468676102','MouseMovement','None','X:663,Y:548'
'03.04.2023 17:09:06','638161385468857904','MouseMovement','None','X:631,Y:591'
'03.04.2023 17:09:06','638161385468963207','MouseMovement','None','X:616,Y:620'
'03.04.2023 17:09:06','638161385469071185','MouseMovement','None','X:587,Y:690'
'03.04.2023 17:09:06','638161385469332177','MouseMovement','None','X:570,Y:748'
'03.04.2023 17:09:06','638161385469392568','MouseMovement','None','X:561,Y:779'
'03.04.2023 17:09:06','638161385469501309','MouseMovement','None','X:556,Y:790'
'03.04.2023 17:09:06','638161385469743624','MouseMovement','None','X:539,Y:810'
'03.04.2023 17:09:06','638161385469786230','MouseMovement','None','X:526,Y:821'
'03.04.2023 17:09:06','638161385469859801','MouseMovement','None','X:509,Y:835'
'03.04.2023 17:09:07','638161385470030247','MouseMovement','None','X:468,Y:872'
'03.04.2023 17:09:07','638161385470139478','MouseMovement','None','X:425,Y:917'
'03.04.2023 17:09:07','638161385470248403','MouseMovement','None','X:409,Y:933'
'03.04.2023 17:09:07','638161385470456737','MouseMovement','None','X:384,Y:956'
'03.04.2023 17:09:07','638161385470563409','MouseMovement','None','X:364,Y:969'
'03.04.2023 17:09:07','638161385470682084','MouseMovement','None','X:352,Y:976'
'03.04.2023 17:09:07','638161385470989374','MouseMovement','None','X:346,Y:980'
'03.04.2023 17:09:07','638161385471209146','MouseMovement','None','X:346,Y:980'
